code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,차입부채,파생상품관련손익
9240,Hanssem,유통,2018,Q2,"319,997,540,499","596,896,958,278","916,894,498,777","319,171,543,397","63,936,505,648","383,108,049,045","627,030,793,673","533,786,449,732",480869764764.0,27297181347.0,29223296199.0,21899600889.0,21899600889.0,"23,533,928,000",,,
9240,Hanssem,유통,2018,Q3,"351,958,229,381","594,232,084,561","946,190,313,942","328,994,140,693","68,371,339,176","397,365,479,869","642,069,739,065","548,824,834,073",428746256956.0,14401306544.0,16176879893.0,15038945392.0,15038945392.0,"23,533,928,000",,,
9240,Hanssem,유통,2018,Q4,"374,354,977,370","511,056,952,073","885,411,929,443","261,039,757,872","61,906,756,991","322,946,514,863","655,762,836,982","562,465,414,580",471268251810.0,25088040876.0,34090758831.0,16329679189.0,16329679189.0,"23,533,928,000",,,
9240,Hanssem,유통,2019,Q1,"430,479,581,752","599,938,294,445","1,030,417,876,197","345,052,338,047","127,664,712,153","472,717,050,200","650,998,248,399","557,700,825,997",424740540094.0,22113094089.0,26419599144.0,16568711727.0,16568711727.0,"23,533,928,000",,,
9240,Hanssem,유통,2019,Q2,"416,311,152,137","593,056,451,043","1,009,367,603,180","364,122,219,642","77,770,247,083","441,892,466,725","660,772,558,857","567,475,136,455",395257899845.0,12721896245.0,15545805912.0,9774310458.0,9774310458.0,"23,533,928,000",,,
9240,Hanssem,유통,2019,Q3,"349,400,321,046","598,275,021,549","947,675,342,595","291,334,636,848","80,912,223,483","372,246,860,331","668,725,904,666","575,428,482,264",385135417232.0,12658031589.0,15606398118.0,7953345809.0,7953345809.0,"23,533,928,000",,,
9240,Hanssem,유통,2019,Q4,"374,491,355,947","649,737,841,248","1,024,229,197,195","302,294,243,090","136,880,532,707","439,174,775,797","678,470,514,755","585,054,421,398",400417203842.0,21566014121.0,15123585801.0,7047103765.0,7047103765.0,"23,533,928,000",,,
9240,Hanssem,유통,2020,Q1,"434,045,553,064","648,925,457,494","1,082,971,010,558","365,798,171,003","137,217,435,267","503,015,606,270","673,371,497,645","579,955,404,288",415745932330.0,19533477498.0,21748301553.0,16056458490.0,16056458490.0,"23,533,928,000",,,
9240,Hanssem,유통,2020,Q2,"362,127,116,725","677,563,415,162","1,039,690,531,887","313,593,193,645","153,060,568,189","466,653,761,834","696,543,528,440","573,036,770,053",430693370679.0,26295353752.0,28729889200.0,23172030795.0,23172030795.0,"23,533,928,000",,,
9240,Hanssem,유통,2020,Q3,"399,185,356,755","674,677,735,671","1,073,863,092,426","328,577,428,500","152,629,283,617","481,206,712,117","716,163,138,696","592,656,380,309",414879753055.0,22982770368.0,26487452395.0,19619610256.0,19619610256.0,"23,533,928,000",,,
9240,Hanssem,유통,2020,Q4,"416,660,090,684","634,796,952,305","1,051,457,042,989","332,669,507,494","134,260,711,037","466,930,218,531","708,015,715,828","584,526,824,458",462607510900.0,30276488052.0,1102811271.0,-8964290903.0,-8964290903.0,"23,533,928,000",,,
9240,Hanssem,유통,2021,Q1,"413,819,918,365","669,579,714,449","1,083,399,632,814","354,029,363,750","146,585,753,742","500,615,117,492","706,273,406,692","582,784,515,322",462031976554.0,24135542900.0,27332478361.0,20694942064.0,20694942064.0,"23,533,928,000",,,
9240,Hanssem,유통,2021,Q2,"351,414,324,011","694,224,608,602","1,045,638,932,613","295,286,371,201","145,921,220,578","441,207,591,779","727,920,232,204","604,431,340,834",453330066552.0,26076046645.0,27886836461.0,21646825512.0,21646825512.0,"23,533,928,000",,,
9240,Hanssem,유통,2021,Q3,"322,081,574,741","697,858,582,691","1,019,940,157,432","244,096,762,204","156,366,412,308","400,463,174,512","742,965,874,290","619,476,982,920",410549835406.0,18125954604.0,21293930756.0,15045642086.0,15045642086.0,"23,533,928,000",,,
9240,Hanssem,유통,2021,Q4,"342,734,305,860","737,177,719,206","1,079,912,025,066","294,908,923,078","189,068,993,725","483,977,916,803","739,028,326,098","595,934,108,263",447499084770.0,-4399188479.0,2406281392.0,-6600745950.0,-6600745950.0,"23,533,928,000",,,
9240,Hanssem,유통,2022,Q1,"323,447,625,632","724,599,770,494","1,048,047,396,126","284,333,484,727","181,226,742,936","465,560,227,663","737,666,222,755","582,487,168,463",410990300933.0,9481343515.0,23127155032.0,18136864107.0,18136864107.0,"23,533,928,000",,,
9240,Hanssem,유통,2022,Q2,"224,870,207,826","721,356,173,698","946,226,381,524","264,821,745,348","178,089,613,341","442,911,358,689","732,439,128,612","503,315,022,835",387206004591.0,3015840147.0,5891107492.0,1538513057.0,1538513057.0,"23,533,928,000",,,
9240,Hanssem,유통,2022,Q3,"223,762,236,336","705,769,877,900","929,532,114,236","274,790,173,284","168,548,449,161","443,338,622,445","717,872,020,852","486,193,491,791",368557576878.0,-15463596532.0,-13961499632.0,-8208435360.0,-8208435360.0,"23,533,928,000",,,
9240,Hanssem,유통,2022,Q4,"250,728,688,580","682,577,223,929","933,305,912,509","349,730,502,638","156,047,803,151","505,778,305,789","660,342,619,614","427,527,606,720",373065944535.0,-22656307842.0,-89026619301.0,-73228486259.0,-73228486259.0,"23,533,928,000",,,
9240,Hanssem,유통,2023,Q1,"279,294,905,647","688,042,275,349","967,337,180,996","335,544,928,591","180,205,061,969","515,749,990,560","648,670,202,114","451,587,190,436",355888078673.0,-14736656478.0,-11611218369.0,,,"23,533,928,000",,,
9240,Hanssem,유통,2023,Q2,"282,660,198,403","680,545,832,626","963,206,031,029","339,427,062,707","177,092,380,857","516,519,443,564","643,435,565,611","446,686,587,465",389002298079.0,-1131711200.0,-10002107871.0,,,"23,533,928,000",-5238376304.0,,
9240,Hanssem,유통,2023,Q3,"315,969,961,254","667,457,537,207",,"386,602,968,345","181,683,515,386","568,286,483,731","611,742,397,257","415,141,014,730",361352911503.0,2465960657.0,-8224325136.0,-8224325136.0,-8224325136.0,"23,533,928,000",-6795601402.0,,
9240,Hanssem,유통,2023,Q4,"259,163,118,052","632,056,531,794","891,219,649,846","381,188,946,135","177,700,913,526","558,889,859,661","529,485,988,294","332,329,790,185",381476411059.0,7052876966.0,-15539902467.0,61827144422.0,61827144422.0,"23,533,928,000",-44733429231.0,,
9240,Hanssem,유통,2024,Q1,"265,714,577,912","628,120,848,639","893,835,426,551","338,955,233,286","181,060,104,641","520,015,337,927","570,687,737,984","373,820,088,624",377765299558.0,10114581241.0,42359487096.0,41201749690.0,41201749690.0,"23,533,928,000",41201749690.0,"23,412,033,627",
9240,Hanssem,유통,2024,Q2,"295,914,315,636","618,196,473,710","914,110,789,346","361,882,868,193","178,009,316,518","539,892,184,711","570,801,502,744","374,218,604,635",357768523242.0,3494869682.0,9635696997.0,12564006260.0,12564006260.0,"23,533,928,000",12564006260.0,,12564006260.0
9240,Hanssem,유통,2024,Q3,"497,608,893,491","541,955,492,184","1,039,564,385,675","346,630,150,996","239,323,190,420","585,953,341,416","649,935,487,785","453,611,044,259",327237100905.0,2024961345.0,140429118664.0,105362493801.0,105362493801.0,"23,533,928,000",105362493801.0,,105362493801.0
